price,sector,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,has_servant_room,has_study_room,has_pooja_room,has_store_room,has_others,furnishing_type,luxury_score,super_built_up_area,built_up_area,carpet_area
1.25,Sector 103,6443.0,1940.0,3,3,3+,2.0,New Property,0,0,1,0,0,0,105,1940.0,1940.0,1056.0
0.42,Sector 63A,7407.0,567.0,3,2,2,1.0,Undefined,0,0,0,0,0,0,0,,,567.0
0.4,Sohna,6420.0,623.0,2,2,1,4.0,New Property,0,0,0,0,0,0,49,623.0,623.0,599.0
0.34,Sohna,5405.0,629.0,2,2,1,0.0,New Property,0,0,0,0,0,0,0,,,629.0
1.25,Sector 89,8784.0,1423.0,3,3,3,3.0,New Property,0,1,0,0,1,0,0,1423.0,1423.0,
1.5,Sector 77,12744.0,1177.0,3,3,3,4.0,Relatively New,0,0,0,0,0,1,97,1450.0,1450.0,1177.0
1.3,Dwarka Expressway,9285.0,1400.0,3,3,2,3.0,Under Construction,0,0,0,0,0,0,0,1400.0,1400.0,
1.6,Sector 99A,8000.0,2000.0,3,3,3,6.0,Under Construction,0,0,0,0,0,0,0,2000.0,2000.0,
1.5,Sector 113,11755.0,1276.0,2,2,2,13.0,New Property,0,0,0,0,0,0,0,,,1276.0
1.5,Sector 113,11755.0,1276.0,2,2,2,13.0,New Property,0,0,0,0,0,0,60,1276.0,1276.0,
0.9,Sector 104,7149.0,1259.0,2,2,0,16.0,Undefined,0,0,0,0,0,0,0,,1259.0,
1.5,Sector 52,9146.0,1640.0,4,4,3,3.0,Old Property,0,0,0,0,0,0,65,1640.0,1640.0,
0.8,Sector 67,13115.0,610.0,1,1,0,0.0,Undefined,0,0,0,0,0,0,0,,610.0,
1.25,Sector 86,7396.0,1690.0,3,2,1,11.0,New Property,0,0,0,0,0,0,45,1690.0,1690.0,
0.26,Sohna,5397.0,482.0,2,2,1,2.0,Relatively New,0,0,0,0,0,0,37,,,481.74
0.42,Sohna,7909.0,531.0,2,2,1,12.0,New Property,0,0,0,0,0,1,54,,,531.0
2.5,Sushant Lok Phase 1,12920.0,1935.0,3,3,2,2.0,New Property,0,0,0,0,0,0,0,215.0,215.0,
0.9,Sector 78,4615.0,1950.0,3,3,2,1.0,Moderately Old,1,0,1,0,0,0,65,1950.0,1950.0,1854.0
0.42,Sector 92,7106.0,591.0,2,2,1,4.0,Relatively New,0,1,1,0,0,1,42,,,591.0
0.5,Sector 107,7692.0,650.0,2,2,1,11.0,Relatively New,0,0,0,0,0,0,0,546.0,546.0,
0.9,Sector 79,5883.0,1530.0,2,2,3,5.0,Relatively New,0,1,0,0,0,0,53,1530.0,1530.0,1400.0
1.3,Sector 89,6806.0,1910.0,3,3,3+,1.0,New Property,1,0,0,0,0,0,35,,,1910.0
1.7,Sector-33 Sohna,9502.0,1789.0,3,3,3,12.0,Under Construction,0,0,0,0,0,0,24,1789.0,1789.0,
1.25,Sector 92,6200.0,2016.0,4,3,0,16.0,Under Construction,0,0,0,0,0,0,49,,2040.0,
2.91,Sector 82A,6700.0,4343.0,4,4,3,6.0,Under Construction,1,1,0,1,0,1,79,4350.0,4350.0,3480.0
1.15,Sector 12A,5750.0,2000.0,3,4,2,2.0,Old Property,1,1,0,0,1,1,28,2500.0,2500.0,1750.0
1.2,Sector 89,12526.0,958.0,3,3,3,3.0,Under Construction,0,0,1,1,0,0,131,,,958.0
1.5,Sohna Road,12244.0,1225.0,2,2,3,11.0,New Property,0,0,0,0,0,0,44,,,1225.0
1.3,Sohna,7424.0,1751.0,3,3,3+,10.0,Relatively New,0,0,0,0,0,0,49,1751.0,1751.0,1290.0
1.75,Sector 104,10361.0,1689.0,3,3,3,2.0,Under Construction,0,0,0,0,0,0,30,1689.0,1689.0,
0.55,Ashok Vihar Phase 2,6470.0,850.0,2,2,1,4.0,Relatively New,0,1,0,0,0,1,69,,,700.0
2.5,Sector 65,13600.0,1838.0,3,3,3,19.0,Under Construction,0,0,0,0,0,0,0,1828.0,1828.0,
0.43,Rajiv Colony,5308.0,810.0,2,2,1,1.0,Moderately Old,0,0,0,0,0,0,7,810.0,810.0,
0.8,Sector 2,5556.0,1440.0,3,2,3,8.0,Undefined,0,0,0,0,0,0,0,,1440.0,1080.0
0.45,Garauli Kalan,4500.0,1000.0,3,3,2,18.0,Under Construction,0,0,0,0,0,0,0,1000.0,1000.0,
0.7,Sector 108,4666.0,1500.0,2,2,1,10.0,Moderately Old,0,0,0,0,0,0,0,,1468.0,1150.0
1.95,Sector 37D,14444.0,1350.0,4,3,3,7.0,Under Construction,0,0,0,0,0,0,0,2191.0,2191.0,1350.0
0.45,Sector 90,7188.0,626.0,2,2,1,2.0,New Property,0,0,0,0,0,1,42,,,626.0
1.7,Sector 79,10828.0,1570.0,3,2,3,10.0,Undefined,0,0,0,0,0,0,0,,1570.0,1099.0
1.1,Bhawani Enclave,6111.0,1800.0,3,2,3,5.0,Old Property,0,0,0,0,0,0,42,,,1800.0
0.5,Sector 86,9615.0,520.0,2,2,1,10.0,Relatively New,0,0,0,0,0,0,15,,,520.0
2.8,Sector 65,15000.0,1867.0,3,3,3,20.0,Under Construction,0,0,0,0,0,0,91,1828.0,1828.0,
1.45,Sector-33 Sohna,15664.0,926.0,3,2,3+,20.0,Under Construction,0,1,0,0,0,0,144,,118.0,86.0
2.2,Sector 61,13496.0,1630.0,3,3,2,3.0,Under Construction,0,0,0,0,0,0,16,,,1630.0
0.9,Sohna,9463.0,951.0,2,2,2,13.0,Relatively New,0,0,0,0,0,2,120,1275.0,1275.0,951.0
0.4,Sector 95A,7782.0,514.0,2,2,2,3.0,New Property,0,0,0,0,0,1,44,,,514.0
1.35,Sector 77,7780.0,1735.0,3,3,3+,7.0,New Property,0,0,0,1,0,1,96,1735.0,1735.0,1199.0
1.85,Sector 67A,8043.0,2300.0,4,4,0,4.0,Undefined,0,0,0,0,0,0,0,,,2300.0
0.25,Sector 95,6578.0,380.0,1,1,1,4.0,New Property,0,0,0,0,0,0,0,380.0,380.0,
0.88,Sector 89,7963.0,1105.0,2,2,3,2.0,New Property,0,1,0,0,0,0,44,,,1105.0
1.15,Sector 99,6593.0,1744.0,2,2,2,2.0,New Property,0,0,0,0,1,1,72,1365.0,1365.0,
1.6,IFFCO Chowk,12185.0,1313.0,3,3,3,4.0,Moderately Old,0,0,0,0,0,0,46,1313.0,1313.0,
0.85,Sector 99A,6789.0,1252.0,2,2,2,3.0,New Property,0,0,0,0,0,0,43,1252.0,1252.0,
0.75,Sector 82A,7500.0,1000.0,2,2,2,1.0,Undefined,0,0,0,0,0,0,0,,1000.0,650.0
